region,program_month,effective_start,effective_end,model_year,model,trim,sales_event_cash,hmf_low_apr_rates,hmf_low_apr_bonus_cash,hmf_dealer_choice_rates,hmf_dealer_choice_bonus_cash
Mountain States (MS),Feb-26,2/3/2026,3/2/2026,2026,ELANTRA ICE,SE,,3.99/3.99/3.99/4.49 (36/48/60/72),,5.39/5.39/5.39/5.99 (36/48/60/72),750
Mountain States (MS),Feb-26,2/3/2026,3/2/2026,2026,ELANTRA HEV,Blue,,3.99/3.99/3.99/4.49 (36/48/60/72),,5.39/5.39/5.39/5.99 (36/48/60/72),750
Mountain States (MS),Feb-26,2/3/2026,3/2/2026,2026,ELANTRA N,N,,5.49/5.49/5.49/6.79 (36/48/60/72),,,
Mountain States (MS),Feb-26,2/3/2026,3/2/2026,2026,SONATA ICE,SE,,3.99/3.99/3.99/4.99 (36/48/60/72),,5.39/5.39/5.39/5.99 (36/48/60/72),500
Mountain States (MS),Feb-26,2/3/2026,3/2/2026,2026,SONATA HEV,Blue,,4.49/4.49/4.49/4.99 (36/48/60/72),,5.39/5.39/5.39/5.99 (36/48/60/72),500
Mountain States (MS),Feb-26,2/3/2026,3/2/2026,2026,VENUE,SE,,5.49/5.49/5.49/6.49 (36/48/60/72),,,
Mountain States (MS),Feb-26,2/3/2026,3/2/2026,2026,KONA ICE,SE,,3.49/3.49/3.49/3.99 (36/48/60/72),,5.39/5.39/5.39/5.99 (36/48/60/72),1000
Mountain States (MS),Feb-26,2/3/2026,3/2/2026,2026,TUCSON ICE,All,,0.00/0.00/0.00/3.99 (36/48/60/72),,5.39/5.39/5.39/5.99 (36/48/60/72),2750
Mountain States (MS),Feb-26,2/3/2026,3/2/2026,2026,TUCSON HEV,All,,0.99/0.99/0.99/3.99 (36/48/60/72),,5.39/5.39/5.39/5.99 (36/48/60/72),2750
Mountain States (MS),Feb-26,2/3/2026,3/2/2026,2026,PALISADE (ICE),SEL,,3.99/3.99/3.99/4.99 (36/48/60/72),,5.39/5.39/5.39/5.99 (36/48/60/72),750
Mountain States (MS),Feb-26,2/3/2026,3/2/2026,2026,PALISADE (ICE),XRT Pro,1000,3.99/3.99/3.99/4.99 (36/48/60/72), ,5.39/5.39/5.39/5.99 (36/48/60/72),750
Mountain States (MS),Feb-26,2/3/2026,3/2/2026,2026,PALISADE (ICE),Calligraphy,1000,3.99/3.99/3.99/4.99 (36/48/60/72),,5.39/5.39/5.39/5.99 (36/48/60/72),750
Mountain States (MS),Feb-26,2/3/2026,3/2/2026,2026,PALISADE HEV,Blue SEL,,4.49/4.49/4.49/5.49 (36/48/60/72),,5.39/5.39/5.39/5.99 (36/48/60/72),500
Mountain States (MS),Feb-26,2/3/2026,3/2/2026,2026,SANTA CRUZ,SE,,4.99/4.99/4.99/5.99 (36/48/60/72),,,
Mountain States (MS),Feb-26,2/3/2026,3/2/2026,2026,SANTA FE ICE,All,,0.00/0.00/0.00/3.99 (36/48/60/72),,5.39/5.39/5.39/5.99 (36/48/60/72),3500
Mountain States (MS),Feb-26,2/3/2026,3/2/2026,2026,SANTA FE HEV,All,,0.00/0.00/0.00/3.99 (36/48/60/72),,5.39/5.39/5.39/5.99 (36/48/60/72),4000
