dealer,model_code,model_desc,purchase_date,sales_type,todays_date,section,type,program_id,program_name,end_date,rdr_deadline,claim_cutoff_date,amount_min,amount_max,package,fico_min,fico_max,mileage_per_year,term_min,term_max,apr,bonus_cash,rv,mf,lease_cash
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,Consumer Program,First Responders,2602FI002,First Responders,3/2/2026,########,########,500,500,,,,,,,,,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,Consumer Program,Hyundai Rewards,2601HR002,Hyundai Rewards Program 2026,########,########,########,0,300,,,,,,,,,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,Consumer Program,Military,2602ML002,Military Program,3/2/2026,########,########,500,500,,,,,,,,,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,Consumer Program,Personal Offers,2501PO001,Personalized Customer Offer - (See Rules),########,########,########,500,500,,,,,,,,,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,Consumer Program,College Grad,C2602CCG02,College Grad,3/2/2026,########,,400,400,,,,,,,,,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Special Balloon,C2602RBL04,202602 H302 MS,3/2/2026,,,,,*,740,999,,36,36,5.69,0,64,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Special Balloon,C2602RBL04,202602 H302 MS,3/2/2026,,,,,*,720,739,,36,36,5.69,0,64,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Special Balloon,C2602RBL04,202602 H302 MS,3/2/2026,,,,,*,700,719,,36,36,5.69,0,64,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Special Balloon,C2602RBL04,202602 H302 MS,3/2/2026,,,,,*,680,699,,36,36,6.02,0,64,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Special Balloon,C2602RBL04,202602 H302 MS,3/2/2026,,,,,*,660,679,,36,36,6.46,0,64,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Special Balloon,C2602RBL04,202602 H302 MS,3/2/2026,,,,,*,640,659,,36,36,6.87,0,64,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Special Balloon,C2602RBL04,202602 H302 MS,3/2/2026,,,,,*,620,639,,36,36,7.22,0,64,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,740,999,,24,24,5.39,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,740,999,,25,36,5.39,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,740,999,,37,48,5.39,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,740,999,,49,60,5.39,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,740,999,,61,72,5.99,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,720,739,,24,24,5.99,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,720,739,,25,36,5.99,1000,,,
"Choice C2602RDH08 202602 H704 MS 03/02/2026 * 580~619 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 11.49 $ 1,000 12.09 $ 1,000",Q1492AT5,2026 KONA LIMITED AWD,2/3/2026,R: RETAIL,2/3/2026,APR Program,Dealer Choice,C2602RDH08,202602 H704 MS,3/2/2026,,,,,*,720,739,,37,48,5.99,1000,,,
